k,RMSE_small,PSNR_small,RMSE_large,PSNR_large,RMSE_sigma,PSNR_sigma
20,0.06625179946422577,23.57604641722309,0.5387216210365295,5.372711573015485,0.053296297788619995,25.466059042672477
40,0.057796377688646317,24.761987629407738,0.5372401475906372,5.39663091537256,0.03987786918878555,27.98536105433819
60,0.055992212146520615,25.037447306141676,0.5363401174545288,5.411193949446469,0.03193069249391556,29.91583329232022
80,0.054231196641922,25.315016341914664,0.5360586047172546,5.415754226767486,0.02619478851556778,31.63570183402637
100,0.0527498684823513,25.555572501340865,0.5354846715927124,5.425059338214931,0.02168765664100647,33.27574711668768
120,0.05132604017853737,25.793244560918886,0.534884512424469,5.434799704931904,0.017984529957175255,34.90201847112034
140,0.03897286206483841,28.184753665471284,0.5342345833778381,5.4453595870337885,0.014915324747562408,36.5273459573053
160,0.03721870854496956,28.584773849795113,0.5339633822441101,5.449770683254441,0.012320976704359055,38.187097260325466
180,0.036140650510787964,28.84008031675672,0.5336672067642212,5.454589803975281,0.010132413357496262,39.88574176944476
200,0.03573622554540634,28.937826354977645,0.5325456261634827,5.47286376298798,0.008274020627140999,41.6456678645114
220,0.03439248725771904,29.27072853279953,0.5316956639289856,5.486737760898759,0.00669188192114234,43.48903479926163
240,0.03376774489879608,29.429958362261132,0.5314905047416687,5.490089484336762,0.005358885042369366,45.4185110315763
260,0.03160635754466057,30.004511451616498,0.5313597917556763,5.4922265390045,0.004243574570864439,47.44536347158136
280,0.031110871583223343,30.14175631721152,0.5307465195655823,5.502256732184916,0.0033376100473105907,49.53128833730393
300,0.029794912785291672,30.51715750816768,0.5305818915367126,5.504951918587332,0.002606050344184041,51.68034365928371
320,0.025851842015981674,31.750170238057617,0.5303201675415039,5.509237140676417,0.0020331069827079773,53.83679507929717
340,0.022622402757406235,32.909225409391766,0.530078649520874,5.51319400638786,0.001580080483108759,56.02641577665139
360,0.021619122475385666,33.30323859101066,0.5298025608062744,5.517718844756044,0.0012148426612839103,58.309599511242844
380,0.020455889403820038,33.78363239882175,0.5250152945518494,5.5965609822693185,0.0009245453984476626,60.68143504610218
400,0.017863769084215164,34.960538471510176,0.5247241854667664,5.601378515126919,0.0006950618699193001,63.15953053065482
420,0.014910062775015831,36.53041083005087,0.524319052696228,5.608087513055833,0.0005173248355276883,65.72473346460869
440,0.013810301199555397,37.19593675371743,0.5239447951316833,5.614289175136803,0.0003822995931841433,68.35192353015997
460,0.012230809777975082,38.250896020186225,0.5234816670417786,5.62197024468722,0.0002925097942352295,70.67719215900861
480,0.008882630616426468,41.0291680633579,0.5226528644561768,5.635733079938433,0.0002462790871504694,72.17144909052212
500,0.0019157436909154058,54.353251830127505,0.5127046704292297,5.802654023238154,0.00023251076345331967,72.6711386213486
512,0.00023176349350251257,72.69909917045251,0.0002316037571290508,72.70508778681678,0.00023176270769909024,72.69912904417
